type0,count0,type1,count1,type2,count2
http://yago-knowledge.org/resource/wikicat_Living_people,http://yago-knowledge.org/resource/667494,http://yago-knowledge.org/resource/wordnet_country_108544813,http://yago-knowledge.org/resource/4366,http://yago-knowledge.org/resource/wikicat_Living_people,http://yago-knowledge.org/resource/667494
http://yago-knowledge.org/resource/wikicat_Living_people,http://yago-knowledge.org/resource/667494,http://yago-knowledge.org/resource/wordnet_country_108544813,http://yago-knowledge.org/resource/4366,http://yago-knowledge.org/resource/wikicat_Women,http://yago-knowledge.org/resource/70436
http://yago-knowledge.org/resource/wikicat_Living_people,http://yago-knowledge.org/resource/667494,http://yago-knowledge.org/resource/wordnet_country_108544813,http://yago-knowledge.org/resource/4366,http://yago-knowledge.org/resource/wordnet_first_lady_110092880,http://yago-knowledge.org/resource/163
http://yago-knowledge.org/resource/wikicat_Living_people,http://yago-knowledge.org/resource/667494,http://yago-knowledge.org/resource/wikicat_Member_states_of_the_United_Nations,http://yago-knowledge.org/resource/194,http://yago-knowledge.org/resource/wikicat_Living_people,http://yago-knowledge.org/resource/667494
http://yago-knowledge.org/resource/wikicat_Living_people,http://yago-knowledge.org/resource/667494,http://yago-knowledge.org/resource/wikicat_Member_states_of_the_United_Nations,http://yago-knowledge.org/resource/194,http://yago-knowledge.org/resource/wikicat_Women,http://yago-knowledge.org/resource/70436
http://yago-knowledge.org/resource/wikicat_Living_people,http://yago-knowledge.org/resource/667494,http://yago-knowledge.org/resource/wikicat_Member_states_of_the_United_Nations,http://yago-knowledge.org/resource/194,http://yago-knowledge.org/resource/wordnet_first_lady_110092880,http://yago-knowledge.org/resource/163
http://yago-knowledge.org/resource/wordnet_officeholder_110371450,http://yago-knowledge.org/resource/47953,http://yago-knowledge.org/resource/wordnet_country_108544813,http://yago-knowledge.org/resource/4366,http://yago-knowledge.org/resource/wikicat_Living_people,http://yago-knowledge.org/resource/667494
http://yago-knowledge.org/resource/wordnet_officeholder_110371450,http://yago-knowledge.org/resource/47953,http://yago-knowledge.org/resource/wordnet_country_108544813,http://yago-knowledge.org/resource/4366,http://yago-knowledge.org/resource/wikicat_Women,http://yago-knowledge.org/resource/70436
http://yago-knowledge.org/resource/wordnet_officeholder_110371450,http://yago-knowledge.org/resource/47953,http://yago-knowledge.org/resource/wordnet_country_108544813,http://yago-knowledge.org/resource/4366,http://yago-knowledge.org/resource/wordnet_first_lady_110092880,http://yago-knowledge.org/resource/163
http://yago-knowledge.org/resource/wordnet_officeholder_110371450,http://yago-knowledge.org/resource/47953,http://yago-knowledge.org/resource/wikicat_Member_states_of_the_United_Nations,http://yago-knowledge.org/resource/194,http://yago-knowledge.org/resource/wikicat_Living_people,http://yago-knowledge.org/resource/667494
http://yago-knowledge.org/resource/wordnet_officeholder_110371450,http://yago-knowledge.org/resource/47953,http://yago-knowledge.org/resource/wikicat_Member_states_of_the_United_Nations,http://yago-knowledge.org/resource/194,http://yago-knowledge.org/resource/wikicat_Women,http://yago-knowledge.org/resource/70436
http://yago-knowledge.org/resource/wordnet_officeholder_110371450,http://yago-knowledge.org/resource/47953,http://yago-knowledge.org/resource/wikicat_Member_states_of_the_United_Nations,http://yago-knowledge.org/resource/194,http://yago-knowledge.org/resource/wordnet_first_lady_110092880,http://yago-knowledge.org/resource/163
